Community,Size Before,Size After,Size Reduction
0,1298,112,1186
1,340,60,280
3,148,41,107
2,154,55,99
4,119,40,79
5,108,39,69
6,82,37,45
12,68,27,41
10,70,30,40
11,70,30,40
9,73,33,40
8,76,36,40
7,76,36,40
13,65,26,39
17,45,20,25
14,49,25,24
15,48,25,23
16,46,23,23
18,36,20,16
19,35,20,15
20,33,20,13
22,30,20,10
24,29,19,10
21,30,20,10
23,29,20,9
25,27,19,8
26,26,18,8
28,23,18,5
29,22,17,5
27,23,18,5
30,21,17,4
31,20,16,4
32,20,16,4
33,19,16,3
34,19,16,3
39,16,14,2
41,15,13,2
40,16,14,2
35,17,15,2
38,16,14,2
36,17,15,2
42,14,13,1
37,16,15,1
44,13,12,1
428,2,2,0
424,2,2,0
425,2,2,0
426,2,2,0
427,2,2,0
430,2,2,0
429,2,2,0
422,2,2,0
431,2,2,0
432,2,2,0
433,2,2,0
434,2,2,0
423,2,2,0
420,2,2,0
421,2,2,0
419,2,2,0
418,2,2,0
416,2,2,0
415,2,2,0
414,2,2,0
413,2,2,0
436,2,2,0
412,2,2,0
411,2,2,0
410,2,2,0
409,2,2,0
435,2,2,0
458,2,2,0
437,2,2,0
452,2,2,0
464,2,2,0
463,2,2,0
462,2,2,0
461,2,2,0
460,2,2,0
459,2,2,0
407,2,2,0
457,2,2,0
456,2,2,0
455,2,2,0
454,2,2,0
453,2,2,0
451,2,2,0
438,2,2,0
450,2,2,0
449,2,2,0
448,2,2,0
447,2,2,0
446,2,2,0
445,2,2,0
444,2,2,0
443,2,2,0
442,2,2,0
441,2,2,0
440,2,2,0
439,2,2,0
408,2,2,0
317,3,3,0
406,2,2,0
294,3,3,0
306,3,3,0
305,3,3,0
304,3,3,0
303,3,3,0
302,3,3,0
301,3,3,0
300,3,3,0
299,3,3,0
298,3,3,0
297,3,3,0
296,3,3,0
295,3,3,0
293,3,3,0
405,2,2,0
292,3,3,0
291,3,3,0
290,3,3,0
289,3,3,0
288,3,3,0
287,3,3,0
286,3,3,0
285,3,3,0
284,3,3,0
283,3,3,0
282,3,3,0
281,3,3,0
307,3,3,0
308,3,3,0
309,3,3,0
310,3,3,0
404,2,2,0
403,2,2,0
402,2,2,0
401,2,2,0
331,3,3,0
330,3,3,0
329,3,3,0
328,3,3,0
327,3,3,0
326,3,3,0
325,3,3,0
324,3,3,0
323,3,3,0
322,3,3,0
321,3,3,0
320,3,3,0
319,3,3,0
318,3,3,0
466,2,2,0
316,3,3,0
315,3,3,0
314,3,3,0
313,3,3,0
312,3,3,0
311,3,3,0
465,2,2,0
488,2,2,0
467,2,2,0
541,2,2,0
553,2,2,0
552,2,2,0
551,2,2,0
550,2,2,0
549,2,2,0
548,2,2,0
547,2,2,0
546,2,2,0
545,2,2,0
544,2,2,0
543,2,2,0
542,2,2,0
540,2,2,0
555,2,2,0
539,2,2,0
538,2,2,0
537,2,2,0
536,2,2,0
535,2,2,0
534,2,2,0
533,2,2,0
532,2,2,0
531,2,2,0
530,2,2,0
529,2,2,0
528,2,2,0
554,2,2,0
556,2,2,0
468,2,2,0
571,2,2,0
583,2,2,0
582,2,2,0
581,2,2,0
580,2,2,0
579,2,2,0
578,2,2,0
577,2,2,0
576,2,2,0
575,2,2,0
574,2,2,0
573,2,2,0
572,2,2,0
570,2,2,0
557,2,2,0
569,2,2,0
568,2,2,0
567,2,2,0
566,2,2,0
565,2,2,0
564,2,2,0
563,2,2,0
562,2,2,0
561,2,2,0
560,2,2,0
559,2,2,0
558,2,2,0
527,2,2,0
526,2,2,0
525,2,2,0
482,2,2,0
494,2,2,0
493,2,2,0
492,2,2,0
491,2,2,0
490,2,2,0
489,2,2,0
279,3,3,0
487,2,2,0
486,2,2,0
485,2,2,0
484,2,2,0
483,2,2,0
481,2,2,0
524,2,2,0
480,2,2,0
479,2,2,0
478,2,2,0
477,2,2,0
476,2,2,0
475,2,2,0
474,2,2,0
473,2,2,0
472,2,2,0
471,2,2,0
470,2,2,0
469,2,2,0
495,2,2,0
496,2,2,0
497,2,2,0
498,2,2,0
523,2,2,0
522,2,2,0
521,2,2,0
520,2,2,0
519,2,2,0
518,2,2,0
517,2,2,0
516,2,2,0
515,2,2,0
514,2,2,0
513,2,2,0
512,2,2,0
511,2,2,0
510,2,2,0
509,2,2,0
508,2,2,0
507,2,2,0
506,2,2,0
505,2,2,0
504,2,2,0
503,2,2,0
502,2,2,0
501,2,2,0
500,2,2,0
499,2,2,0
280,3,3,0
417,2,2,0
278,3,3,0
