Source,Target,ID,Source_Ideology,Source_Decade,In_PIRUS,ID_Target,Target_Ideology,Target_Decade,In_PIRUS_Target
8561,10007,8561,White Supremacist/Xenophobic,2010s,Yes,10007,White Supremacist/Xenophobic,2020s,Yes
10007,10008,10007,White Supremacist/Xenophobic,2020s,Yes,10008,White Supremacist/Xenophobic,2020s,Yes
8561,10008,8561,White Supremacist/Xenophobic,2010s,Yes,10008,White Supremacist/Xenophobic,2020s,Yes
10007,10009,10007,White Supremacist/Xenophobic,2020s,Yes,10009,White Supremacist/Xenophobic,2020s,Yes
10008,10009,10008,White Supremacist/Xenophobic,2020s,Yes,10009,White Supremacist/Xenophobic,2020s,Yes
8561,10009,8561,White Supremacist/Xenophobic,2010s,Yes,10009,White Supremacist/Xenophobic,2020s,Yes
10007,10010,10007,White Supremacist/Xenophobic,2020s,Yes,10010,White Supremacist/Xenophobic,2020s,Yes
10008,10010,10008,White Supremacist/Xenophobic,2020s,Yes,10010,White Supremacist/Xenophobic,2020s,Yes
10009,10010,10009,White Supremacist/Xenophobic,2020s,Yes,10010,White Supremacist/Xenophobic,2020s,Yes
8561,10010,8561,White Supremacist/Xenophobic,2010s,Yes,10010,White Supremacist/Xenophobic,2020s,Yes
10007,10011,10007,White Supremacist/Xenophobic,2020s,Yes,10011,White Supremacist/Xenophobic,2020s,Yes
10008,10011,10008,White Supremacist/Xenophobic,2020s,Yes,10011,White Supremacist/Xenophobic,2020s,Yes
10009,10011,10009,White Supremacist/Xenophobic,2020s,Yes,10011,White Supremacist/Xenophobic,2020s,Yes
10010,10011,10010,White Supremacist/Xenophobic,2020s,Yes,10011,White Supremacist/Xenophobic,2020s,Yes
8561,10011,8561,White Supremacist/Xenophobic,2010s,Yes,10011,White Supremacist/Xenophobic,2020s,Yes
10007,10012,10007,White Supremacist/Xenophobic,2020s,Yes,10012,White Supremacist/Xenophobic,2020s,Yes
10008,10012,10008,White Supremacist/Xenophobic,2020s,Yes,10012,White Supremacist/Xenophobic,2020s,Yes
10009,10012,10009,White Supremacist/Xenophobic,2020s,Yes,10012,White Supremacist/Xenophobic,2020s,Yes
10010,10012,10010,White Supremacist/Xenophobic,2020s,Yes,10012,White Supremacist/Xenophobic,2020s,Yes
10011,10012,10011,White Supremacist/Xenophobic,2020s,Yes,10012,White Supremacist/Xenophobic,2020s,Yes
8561,10012,8561,White Supremacist/Xenophobic,2010s,Yes,10012,White Supremacist/Xenophobic,2020s,Yes
10007,10013,10007,White Supremacist/Xenophobic,2020s,Yes,10013,White Supremacist/Xenophobic,2020s,Yes
10008,10013,10008,White Supremacist/Xenophobic,2020s,Yes,10013,White Supremacist/Xenophobic,2020s,Yes
10009,10013,10009,White Supremacist/Xenophobic,2020s,Yes,10013,White Supremacist/Xenophobic,2020s,Yes
10010,10013,10010,White Supremacist/Xenophobic,2020s,Yes,10013,White Supremacist/Xenophobic,2020s,Yes
10011,10013,10011,White Supremacist/Xenophobic,2020s,Yes,10013,White Supremacist/Xenophobic,2020s,Yes
10012,10013,10012,White Supremacist/Xenophobic,2020s,Yes,10013,White Supremacist/Xenophobic,2020s,Yes
8561,10013,8561,White Supremacist/Xenophobic,2010s,Yes,10013,White Supremacist/Xenophobic,2020s,Yes
10007,10014,10007,White Supremacist/Xenophobic,2020s,Yes,10014,White Supremacist/Xenophobic,2020s,Yes
10008,10014,10008,White Supremacist/Xenophobic,2020s,Yes,10014,White Supremacist/Xenophobic,2020s,Yes
10009,10014,10009,White Supremacist/Xenophobic,2020s,Yes,10014,White Supremacist/Xenophobic,2020s,Yes
10010,10014,10010,White Supremacist/Xenophobic,2020s,Yes,10014,White Supremacist/Xenophobic,2020s,Yes
10011,10014,10011,White Supremacist/Xenophobic,2020s,Yes,10014,White Supremacist/Xenophobic,2020s,Yes
10012,10014,10012,White Supremacist/Xenophobic,2020s,Yes,10014,White Supremacist/Xenophobic,2020s,Yes
10013,10014,10013,White Supremacist/Xenophobic,2020s,Yes,10014,White Supremacist/Xenophobic,2020s,Yes
8561,10014,8561,White Supremacist/Xenophobic,2010s,Yes,10014,White Supremacist/Xenophobic,2020s,Yes
10025,10026,10025,Anarchist/Anti-Capitalist,2020s,Yes,10026,Anarchist/Anti-Capitalist,2020s,Yes
10038,10040,10038,Conspiracy Theory,2010s,Yes,10040,Conspiracy Theory,2010s,Yes
10159,10046,10159,Conspiracy Theory,2020s,Yes,10046,Conspiracy Theory,2020s,Yes
10060,10047,10060,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,10047,Militia/Sovereign Citizen/Anti-Government,2020s,Yes
10061,10047,10061,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,10047,Militia/Sovereign Citizen/Anti-Government,2020s,Yes
10062,10047,10062,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,10047,Militia/Sovereign Citizen/Anti-Government,2020s,Yes
10063,10047,10063,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,10047,Militia/Sovereign Citizen/Anti-Government,2020s,Yes
10064,10047,10064,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,10047,Militia/Sovereign Citizen/Anti-Government,2020s,Yes
10065,10047,10065,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,10047,Militia/Sovereign Citizen/Anti-Government,2020s,Yes
10066,10047,10066,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,10047,Militia/Sovereign Citizen/Anti-Government,2020s,Yes
10067,10047,10067,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,10047,Militia/Sovereign Citizen/Anti-Government,2020s,Yes
10074,10047,10074,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,10047,Militia/Sovereign Citizen/Anti-Government,2020s,Yes
10599,10047,10599,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,10047,Militia/Sovereign Citizen/Anti-Government,2020s,Yes
7098,10048,7098,White Supremacist/Xenophobic,2010s,Yes,10048,White Supremacist/Xenophobic,1970s,No
9900,10048,9900,White Supremacist/Xenophobic,2020s,Yes,10048,White Supremacist/Xenophobic,1970s,No
1007,1005,1007,Jihadist,1990s,No,1005,Jihadist,1990s,Yes
5187,1005,5187,Jihadist,1990s,Yes,1005,Jihadist,1990s,Yes
10051,10050,10051,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,10050,Militia/Sovereign Citizen/Anti-Government,2020s,Yes
10410,10050,10410,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,10050,Militia/Sovereign Citizen/Anti-Government,2020s,Yes
10592,10059,10592,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,10059,Militia/Sovereign Citizen/Anti-Government,2020s,Yes
1005,1006,1005,Jihadist,1990s,Yes,1006,Jihadist,1990s,Yes
1007,1006,1007,Jihadist,1990s,No,1006,Jihadist,1990s,Yes
5187,1006,5187,Jihadist,1990s,Yes,1006,Jihadist,1990s,Yes
10064,10060,10064,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,10060,Militia/Sovereign Citizen/Anti-Government,2020s,Yes
10065,10060,10065,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,10060,Militia/Sovereign Citizen/Anti-Government,2020s,Yes
10066,10060,10066,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,10060,Militia/Sovereign Citizen/Anti-Government,2020s,Yes
10067,10060,10067,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,10060,Militia/Sovereign Citizen/Anti-Government,2020s,Yes
10599,10060,10599,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,10060,Militia/Sovereign Citizen/Anti-Government,2020s,Yes
10060,10061,10060,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,10061,Militia/Sovereign Citizen/Anti-Government,2020s,Yes
10062,10061,10062,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,10061,Militia/Sovereign Citizen/Anti-Government,2020s,Yes
10064,10061,10064,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,10061,Militia/Sovereign Citizen/Anti-Government,2020s,Yes
10065,10061,10065,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,10061,Militia/Sovereign Citizen/Anti-Government,2020s,Yes
10066,10061,10066,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,10061,Militia/Sovereign Citizen/Anti-Government,2020s,Yes
10067,10061,10067,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,10061,Militia/Sovereign Citizen/Anti-Government,2020s,Yes
10599,10061,10599,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,10061,Militia/Sovereign Citizen/Anti-Government,2020s,Yes
10060,10062,10060,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,10062,Militia/Sovereign Citizen/Anti-Government,2020s,Yes
10064,10062,10064,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,10062,Militia/Sovereign Citizen/Anti-Government,2020s,Yes
10065,10062,10065,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,10062,Militia/Sovereign Citizen/Anti-Government,2020s,Yes
10066,10062,10066,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,10062,Militia/Sovereign Citizen/Anti-Government,2020s,Yes
10067,10062,10067,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,10062,Militia/Sovereign Citizen/Anti-Government,2020s,Yes
10599,10062,10599,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,10062,Militia/Sovereign Citizen/Anti-Government,2020s,Yes
10060,10063,10060,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,10063,Militia/Sovereign Citizen/Anti-Government,2020s,Yes
10061,10063,10061,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,10063,Militia/Sovereign Citizen/Anti-Government,2020s,Yes
10062,10063,10062,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,10063,Militia/Sovereign Citizen/Anti-Government,2020s,Yes
10064,10063,10064,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,10063,Militia/Sovereign Citizen/Anti-Government,2020s,Yes
10065,10063,10065,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,10063,Militia/Sovereign Citizen/Anti-Government,2020s,Yes
10066,10063,10066,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,10063,Militia/Sovereign Citizen/Anti-Government,2020s,Yes
10067,10063,10067,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,10063,Militia/Sovereign Citizen/Anti-Government,2020s,Yes
10599,10063,10599,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,10063,Militia/Sovereign Citizen/Anti-Government,2020s,Yes
10066,10064,10066,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,10064,Militia/Sovereign Citizen/Anti-Government,2020s,Yes
10599,10064,10599,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,10064,Militia/Sovereign Citizen/Anti-Government,2020s,Yes
10064,10065,10064,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,10065,Militia/Sovereign Citizen/Anti-Government,2020s,Yes
10066,10065,10066,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,10065,Militia/Sovereign Citizen/Anti-Government,2020s,Yes
10324,10065,10324,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,10065,Militia/Sovereign Citizen/Anti-Government,2020s,Yes
10599,10065,10599,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,10065,Militia/Sovereign Citizen/Anti-Government,2020s,Yes
10599,10066,10599,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,10066,Militia/Sovereign Citizen/Anti-Government,2020s,Yes
10064,10067,10064,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,10067,Militia/Sovereign Citizen/Anti-Government,2020s,Yes
10065,10067,10065,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,10067,Militia/Sovereign Citizen/Anti-Government,2020s,Yes
10066,10067,10066,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,10067,Militia/Sovereign Citizen/Anti-Government,2020s,Yes
10599,10067,10599,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,10067,Militia/Sovereign Citizen/Anti-Government,2020s,Yes
10047,10068,10047,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,10068,Militia/Sovereign Citizen/Anti-Government,2020s,Yes
10060,10068,10060,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,10068,Militia/Sovereign Citizen/Anti-Government,2020s,Yes
10061,10068,10061,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,10068,Militia/Sovereign Citizen/Anti-Government,2020s,Yes
10062,10068,10062,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,10068,Militia/Sovereign Citizen/Anti-Government,2020s,Yes
10063,10068,10063,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,10068,Militia/Sovereign Citizen/Anti-Government,2020s,Yes
10064,10068,10064,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,10068,Militia/Sovereign Citizen/Anti-Government,2020s,Yes
10065,10068,10065,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,10068,Militia/Sovereign Citizen/Anti-Government,2020s,Yes
10066,10068,10066,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,10068,Militia/Sovereign Citizen/Anti-Government,2020s,Yes
10067,10068,10067,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,10068,Militia/Sovereign Citizen/Anti-Government,2020s,Yes
10070,10068,10070,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,10068,Militia/Sovereign Citizen/Anti-Government,2020s,Yes
10071,10068,10071,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,10068,Militia/Sovereign Citizen/Anti-Government,2020s,Yes
10074,10068,10074,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,10068,Militia/Sovereign Citizen/Anti-Government,2020s,Yes
10599,10068,10599,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,10068,Militia/Sovereign Citizen/Anti-Government,2020s,Yes
10047,10069,10047,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,10069,Militia/Sovereign Citizen/Anti-Government,2020s,Yes
10060,10069,10060,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,10069,Militia/Sovereign Citizen/Anti-Government,2020s,Yes
10061,10069,10061,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,10069,Militia/Sovereign Citizen/Anti-Government,2020s,Yes
10062,10069,10062,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,10069,Militia/Sovereign Citizen/Anti-Government,2020s,Yes
10063,10069,10063,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,10069,Militia/Sovereign Citizen/Anti-Government,2020s,Yes
10064,10069,10064,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,10069,Militia/Sovereign Citizen/Anti-Government,2020s,Yes
10065,10069,10065,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,10069,Militia/Sovereign Citizen/Anti-Government,2020s,Yes
10066,10069,10066,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,10069,Militia/Sovereign Citizen/Anti-Government,2020s,Yes
10067,10069,10067,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,10069,Militia/Sovereign Citizen/Anti-Government,2020s,Yes
10068,10069,10068,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,10069,Militia/Sovereign Citizen/Anti-Government,2020s,Yes
10070,10069,10070,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,10069,Militia/Sovereign Citizen/Anti-Government,2020s,Yes
10071,10069,10071,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,10069,Militia/Sovereign Citizen/Anti-Government,2020s,Yes
10074,10069,10074,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,10069,Militia/Sovereign Citizen/Anti-Government,2020s,Yes
10599,10069,10599,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,10069,Militia/Sovereign Citizen/Anti-Government,2020s,Yes
10047,10070,10047,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,10070,Militia/Sovereign Citizen/Anti-Government,2020s,Yes
10060,10070,10060,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,10070,Militia/Sovereign Citizen/Anti-Government,2020s,Yes
10061,10070,10061,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,10070,Militia/Sovereign Citizen/Anti-Government,2020s,Yes
10062,10070,10062,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,10070,Militia/Sovereign Citizen/Anti-Government,2020s,Yes
10063,10070,10063,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,10070,Militia/Sovereign Citizen/Anti-Government,2020s,Yes
10064,10070,10064,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,10070,Militia/Sovereign Citizen/Anti-Government,2020s,Yes
10065,10070,10065,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,10070,Militia/Sovereign Citizen/Anti-Government,2020s,Yes
10066,10070,10066,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,10070,Militia/Sovereign Citizen/Anti-Government,2020s,Yes
10067,10070,10067,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,10070,Militia/Sovereign Citizen/Anti-Government,2020s,Yes
10071,10070,10071,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,10070,Militia/Sovereign Citizen/Anti-Government,2020s,Yes
10074,10070,10074,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,10070,Militia/Sovereign Citizen/Anti-Government,2020s,Yes
10599,10070,10599,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,10070,Militia/Sovereign Citizen/Anti-Government,2020s,Yes
10047,10071,10047,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,10071,Militia/Sovereign Citizen/Anti-Government,2020s,Yes
10060,10071,10060,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,10071,Militia/Sovereign Citizen/Anti-Government,2020s,Yes
10061,10071,10061,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,10071,Militia/Sovereign Citizen/Anti-Government,2020s,Yes
10062,10071,10062,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,10071,Militia/Sovereign Citizen/Anti-Government,2020s,Yes
10063,10071,10063,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,10071,Militia/Sovereign Citizen/Anti-Government,2020s,Yes
10064,10071,10064,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,10071,Militia/Sovereign Citizen/Anti-Government,2020s,Yes
10065,10071,10065,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,10071,Militia/Sovereign Citizen/Anti-Government,2020s,Yes
10066,10071,10066,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,10071,Militia/Sovereign Citizen/Anti-Government,2020s,Yes
10067,10071,10067,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,10071,Militia/Sovereign Citizen/Anti-Government,2020s,Yes
10074,10071,10074,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,10071,Militia/Sovereign Citizen/Anti-Government,2020s,Yes
10599,10071,10599,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,10071,Militia/Sovereign Citizen/Anti-Government,2020s,Yes
10060,10074,10060,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,10074,Militia/Sovereign Citizen/Anti-Government,2020s,Yes
10061,10074,10061,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,10074,Militia/Sovereign Citizen/Anti-Government,2020s,Yes
10062,10074,10062,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,10074,Militia/Sovereign Citizen/Anti-Government,2020s,Yes
10063,10074,10063,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,10074,Militia/Sovereign Citizen/Anti-Government,2020s,Yes
