Node A,Node B,Jaccard Coefficient,Adamic-Adar,Preferential Attachment,Avg Score
6412,10001,0.0,0.0,380.0,126.66666666666667
4461,10001,0.0,0.0,380.0,126.66666666666667
10001,3702,0.0,0.0,380.0,126.66666666666667
3604,10001,0.0,0.0,380.0,126.66666666666667
6412,3702,0.0,0.0,361.0,120.33333333333333
4461,3702,0.0,0.0,361.0,120.33333333333333
6412,4461,0.0,0.0,361.0,120.33333333333333
3604,6412,0.0,0.0,361.0,120.33333333333333
3604,4461,0.0,0.0,361.0,120.33333333333333
10001,4830,0.0,0.0,360.0,120.0
4819,10001,0.0,0.0,360.0,120.0
4815,10001,0.0,0.0,360.0,120.0
10001,5035,0.0,0.0,360.0,120.0
4817,10001,0.0,0.0,360.0,120.0
4831,10001,0.0,0.0,360.0,120.0
10001,4813,0.0,0.0,360.0,120.0
10001,4829,0.0,0.0,360.0,120.0
10001,4816,0.0,0.0,360.0,120.0
10001,4826,0.0,0.0,360.0,120.0
10001,4825,0.0,0.0,360.0,120.0
