Node A,Node B,Jaccard Coefficient,ID_A,Ideology_A,Decade_A,In_PIRUS_A,ID_B,Ideology_B,Decade_B,In_PIRUS_B,Connection Type
7358,12742,0.2,7358,Anarchist/Anti-Capitalist,1960s,No,12742,Other,2020s,No,External
7358,12743,0.2,7358,Anarchist/Anti-Capitalist,1960s,No,12743,Other,2020s,No,External
7358,6740,0.1111111111111111,7358,Anarchist/Anti-Capitalist,1960s,No,6740,Environmental/Animal Rights,1990s,Yes,External
7358,12741,0.13333333333333333,7358,Anarchist/Anti-Capitalist,1960s,No,12741,Other,2020s,No,External
4454,5172,0.2,4454,White Supremacist/Xenophobic,1970s,Yes,5172,White Supremacist/Xenophobic,1980s,No,Internal
4454,5049,0.25,4454,White Supremacist/Xenophobic,1970s,Yes,5049,White Supremacist/Xenophobic,1980s,No,Internal
4454,5137,0.07692307692307693,4454,White Supremacist/Xenophobic,1970s,Yes,5137,Other,1980s,Yes,External
4454,3889,0.16666666666666666,4454,White Supremacist/Xenophobic,1970s,Yes,3889,White Supremacist/Xenophobic,1970s,Yes,Internal
4454,5067,0.2,4454,White Supremacist/Xenophobic,1970s,Yes,5067,White Supremacist/Xenophobic,1980s,Yes,Internal
9887,10087,0.5,9887,White Supremacist/Xenophobic,2020s,Yes,10087,White Supremacist/Xenophobic,2020s,Yes,Internal
9887,2637,0.16666666666666666,9887,White Supremacist/Xenophobic,2020s,Yes,2637,White Supremacist/Xenophobic,2010s,Yes,Internal
9887,2348,0.5,9887,White Supremacist/Xenophobic,2020s,Yes,2348,White Supremacist/Xenophobic,2010s,Yes,Internal
9887,10086,0.25,9887,White Supremacist/Xenophobic,2020s,Yes,10086,White Supremacist/Xenophobic,2020s,Yes,Internal
12678,1526,0.2857142857142857,12678,Anti-Abortion,2020s,Yes,1526,Anti-Abortion,2020s,No,Internal
12678,12722,0.16666666666666666,12678,Anti-Abortion,2020s,Yes,12722,Anti-Abortion,2020s,Yes,Internal
12678,10001,0.08695652173913043,12678,Anti-Abortion,2020s,Yes,10001,Anti-Abortion,2020s,Yes,Internal
12678,1525,0.21428571428571427,12678,Anti-Abortion,2020s,Yes,1525,Anti-Abortion,2020s,Yes,Internal
12678,12213,0.07142857142857142,12678,Anti-Abortion,2020s,Yes,12213,Anti-Abortion,2020s,Yes,Internal
12678,10000,0.13333333333333333,12678,Anti-Abortion,2020s,Yes,10000,Anti-Abortion,2020s,Yes,Internal
12678,1527,0.07142857142857142,12678,Anti-Abortion,2020s,Yes,1527,Anti-Abortion,2020s,Yes,Internal
1120,6122,0.2,1120,Jihadist,2000s,Yes,6122,Jihadist,2010s,Yes,Internal
1120,6594,0.18181818181818182,1120,Jihadist,2000s,Yes,6594,Jihadist,2010s,Yes,Internal
1120,6336,0.07692307692307693,1120,Jihadist,2000s,Yes,6336,Jihadist,2010s,Yes,Internal
1120,1113,0.0625,1120,Jihadist,2000s,Yes,1113,Jihadist,2000s,Yes,Internal
1120,1115,0.09090909090909091,1120,Jihadist,2000s,Yes,1115,Jihadist,2010s,Yes,Internal
1120,9406,0.10526315789473684,1120,Jihadist,2000s,Yes,9406,Jihadist,2010s,Yes,Internal
1120,6074,0.04,1120,Jihadist,2000s,Yes,6074,Jihadist,2010s,Yes,Internal
1120,1112,0.10526315789473684,1120,Jihadist,2000s,Yes,1112,Jihadist,2000s,Yes,Internal
1120,1116,0.1111111111111111,1120,Jihadist,2000s,Yes,1116,Jihadist,2000s,Yes,Internal
1120,6184,0.06666666666666667,1120,Jihadist,2000s,Yes,6184,Jihadist,2010s,Yes,Internal
