ID,Ideology,Decade,In_PIRUS,Subject_ID,Loc_Plot_State1,Loc_Plot_City1,Loc_Plot_State2,Loc_Plot_City2,Year_Exposure,Plot_Target1,Plot_Target2,Plot_Target3,Attack_Preparation,Changing_Target,Anticp_Fatals_Targ,Internet_Use_Plot,Extent_Plot,Violent,Primary_Event_Mass_Casualty_Incident,Primary_Event_Mass_Casualty_Incident_Type,Primary_Event_Mass_Casualty_Incident_Killed,Foreign_Fighter,Criminal_Severity,Criminal_Charges,Indict_Arrest,Current_Status,Group_Membership,Actively_Recruited,Recruiter1,Recruiter2,Recruiter3,Actively_Connect,Group_Competition,Role_Group,Length_Group,Clique,Internet_Radicalization,Media_Radicalization,Social_Media,Social_Media_Frequency,Social_Media_Platform1,Social_Media_Platform2,Social_Media_Platform3,Social_Media_Platform4,Social_Media_Platform5,Social_Media_Activities1,Social_Media_Activities2,Social_Media_Activities3,Social_Media_Activities4,Social_Media_Activities5,Social_Media_Activities6,Social_Media_Activities7,Radicalization_Islamist,Radicalization_Far_Right,Radicalization_Far_Left,Radicalization_Single_Issue,Ideological_Sub_Category1,Ideological_Sub_Category2,Ideological_Sub_Category3,Loc_Habitation_State1,Loc_Habitation_City1,Loc_Habitation_State2,Loc_Habitation_City2,Itinerant,External_Rad,Rad_duration,Radical_Behaviors,Radical_Beliefs,US_Govt_Leader,Foreign_Govt_Leader,Event_Influence1,Event_Influence2,Event_Influence3,Event_Influence4,Radicalization_Sequence,Radicalization_Place,Prison_Radicalize,Broad_Ethnicity,Age,Marital_Status,Children,Gender,Religious_Background,Convert,Reawakening,Citizenship,Residency_Status,Nativity,Time_US_Months,Immigrant_Generation,Immigrant_Source,Education,Student,Employment_Status,Work_History,Military,Military_Status_Arrest,Foreign_Military,Social_Stratum_Childhood,Social_Stratum_Adulthood,Abuse_Child,Abuse_Adult,Abuse_Type1,Abuse_Type2,Abuse_Type3,Psychological,Alcohol_Drug,Radical_Friend,Radical_Family,Radical_Signif_Other,Previous_Criminal_Activity,Previous_Criminal_Activity_Type1,Previous_Criminal_Activity_Type2,Previous_Criminal_Activity_Type3,Previous_Criminal_Activity_Age,Gang,Gang_Age_Joined,Trauma,Other_Ideologies,Angry_US,Group_Grievance,Component_ID,Component_Density,Lone_Offender,Degree_Centrality,Betweenness_Centrality,Closeness_Centrality
1000,Jihadist,2000s,Yes,1000,District of Columbia,Washington,Florida,-99,2002.0,14,,,1.0,1.0,3.0,1.0,2.0,1.0,1.0,0.0,-88.0,1.0,5.0,2.0,4.0,4.0,3.0,1.0,3.0,4.0,,0.0,0.0,2.0,36,0.0,0.0,0.0,-88.0,-88.0,-88.0,,,,,-88.0,,,,,,,1.0,0.0,0.0,0.0,11.0,,,Florida,Fort Lauderdale,,,1,1.0,3.0,6.0,4.0,-99.0,-99.0,1.0,,,,-99,1,-99.0,1.0,32.0,2.0,2.0,2.0,8.0,1.0,0.0,United States of America,1.0,United States of America,504.0,0.0,-88,2.0,1.0,5.0,3.0,0.0,-88.0,0.0,1.0,2.0,0.0,0.0,-88,,,0.0,0.0,3.0,0.0,0.0,3.0,1.0,4.0,,1.0,1.0,3,0.0,0.0,0.0,0.0,13.0,0.18518518518518517,0.0,8.0,0.2415384615384615,0.472727272727272
10005,Anarchist/Anti-Capitalist,2020s,Yes,10005,Pennsylvania,Philadelphia,,,2020.0,-88,,,-88.0,-88.0,-88.0,-88.0,0.0,0.0,-88.0,-88.0,-88.0,0.0,9.0,2.0,4.0,3.0,0.0,-88.0,-88.0,,,-88.0,-88.0,-88.0,-88,1.0,1.0,0.0,2.0,5.0,1.0,,,,,1.0,2.0,,,,,,0.0,0.0,1.0,0.0,23.0,,,New Jersey,Atlantic City,,,0,0.0,1.0,9.0,5.0,0.0,0.0,10.0,,,,3,0,-99.0,1.0,30.0,1.0,0.0,2.0,-99.0,0.0,0.0,United States of America,1.0,United States of America,360.0,2.0,Guatemala,3.0,0.0,-99.0,-99.0,0.0,-88.0,0.0,-99.0,-99.0,0.0,0.0,-88,,,0.0,0.0,0.0,0.0,0.0,2.0,3.0,7.0,8,3.0,0.0,-88,0.0,0.0,0.0,1.0,299.0,1.0,0.0,2.0,0.0,1.0
10006,Anarchist/Anti-Capitalist,2020s,Yes,10006,Illinois,Champaign,,,2020.0,-88,,,-88.0,-88.0,-88.0,-88.0,0.0,0.0,-88.0,-88.0,-88.0,0.0,4.0,2.0,4.0,4.0,0.0,-88.0,-88.0,,,-88.0,-88.0,-88.0,-88,0.0,2.0,0.0,1.0,5.0,1.0,,,,,1.0,2.0,,,,,,0.0,0.0,1.0,0.0,23.0,,,Illinois,Urbana,,,0,0.0,1.0,9.0,5.0,0.0,0.0,10.0,,,,3,0,-88.0,2.0,19.0,1.0,0.0,2.0,-99.0,0.0,0.0,United States of America,1.0,United States of America,228.0,0.0,-88,3.0,0.0,3.0,1.0,0.0,-88.0,0.0,1.0,2.0,0.0,0.0,,,,2.0,1.0,-99.0,0.0,0.0,0.0,-88.0,,,-88.0,0.0,-88,2.0,0.0,0.0,2.0,565.0,-88.0,1.0,0.0,0.0,0.0
10007,White Supremacist/Xenophobic,2020s,Yes,10007,Tennessee,Rogersville,,,2020.0,14,,,1.0,0.0,0.0,1.0,5.0,1.0,0.0,-88.0,-88.0,0.0,6.0,1.0,4.0,7.0,3.0,-99.0,-99.0,,,-99.0,0.0,3.0,36,0.0,-99.0,-99.0,1.0,-99.0,28.0,,,,,1.0,2.0,3.0,5.0,,,,0.0,1.0,0.0,0.0,2.0,,,Tennessee,Knoxville,,,0,0.0,3.0,9.0,5.0,0.0,0.0,10.0,,,,-99,0,-99.0,3.0,33.0,2.0,3.0,2.0,11.0,0.0,0.0,United States of America,1.0,United States of America,396.0,0.0,-88,-99.0,0.0,-99.0,-99.0,0.0,-88.0,0.0,-99.0,-99.0,0.0,0.0,-88,,,1.0,0.0,3.0,-99.0,-99.0,1.0,-99.0,,,-99.0,0.0,-88,0.0,0.0,0.0,0.0,1.0,0.011015630403209074,0.0,9.0,0.00943871175938773,0.144111612638489
10008,White Supremacist/Xenophobic,2020s,Yes,10008,Tennessee,Rogersville,,,2020.0,14,,,1.0,0.0,0.0,1.0,5.0,1.0,0.0,-88.0,-88.0,0.0,6.0,1.0,4.0,4.0,3.0,-99.0,-99.0,,,-99.0,0.0,2.0,-99,0.0,-99.0,-99.0,1.0,-99.0,19.0,28.0,,,,1.0,2.0,3.0,5.0,,,,0.0,1.0,0.0,0.0,2.0,,,Tennessee,Knoxville,,,0,0.0,2.0,9.0,5.0,0.0,0.0,10.0,,,,-99,0,-88.0,3.0,21.0,1.0,0.0,2.0,11.0,0.0,0.0,United States of America,1.0,United States of America,252.0,0.0,-88,-99.0,0.0,1.0,4.0,0.0,-88.0,0.0,-99.0,1.0,0.0,0.0,,,,0.0,0.0,3.0,-99.0,-99.0,0.0,-88.0,,,-88.0,0.0,-88,0.0,0.0,0.0,0.0,1.0,0.011015630403209074,0.0,10.0,0.0206316026400983,0.145004128819157
10009,White Supremacist/Xenophobic,2020s,Yes,10009,Tennessee,Rogersville,,,2020.0,14,,,1.0,0.0,0.0,1.0,5.0,1.0,0.0,-88.0,-88.0,0.0,6.0,1.0,4.0,4.0,3.0,-99.0,-99.0,,,-99.0,0.0,2.0,-99,0.0,-99.0,-99.0,1.0,-99.0,28.0,,,,,1.0,2.0,3.0,5.0,,,,0.0,1.0,0.0,0.0,2.0,,,Tennessee,Maryville,,,0,0.0,-99.0,9.0,5.0,-99.0,0.0,10.0,,,,-99,0,-88.0,3.0,24.0,1.0,0.0,2.0,-99.0,0.0,0.0,United States of America,1.0,United States of America,288.0,0.0,-88,-99.0,-99.0,-99.0,-99.0,0.0,-88.0,0.0,-99.0,-99.0,0.0,0.0,,,,0.0,0.0,3.0,-99.0,-99.0,0.0,-88.0,,,-88.0,0.0,-88,0.0,0.0,0.0,0.0,1.0,0.011015630403209074,0.0,8.0,0.0,0.127099015634047
1001,Jihadist,2000s,Yes,1001,California,San Francisco,,,2001.0,-88,,,-88.0,-88.0,-88.0,-88.0,0.0,0.0,-88.0,-88.0,-88.0,1.0,7.0,2.0,4.0,4.0,3.0,0.0,-88.0,,,2.0,-99.0,2.0,24,0.0,1.0,1.0,-88.0,-88.0,-88.0,,,,,-88.0,,,,,,,1.0,0.0,0.0,0.0,11.0,,,California,San Francisco,,,1,1.0,2.0,10.0,5.0,-99.0,-99.0,0.0,,,,1,1,-88.0,3.0,20.0,1.0,0.0,2.0,8.0,1.0,0.0,United States of America,1.0,United States of America,240.0,0.0,-88,3.0,1.0,4.0,-99.0,0.0,-88.0,0.0,3.0,-99.0,0.0,0.0,-88,,,0.0,0.0,3.0,0.0,0.0,0.0,-88.0,,,-88.0,0.0,-88,-99.0,0.0,1.0,-99.0,566.0,-88.0,1.0,0.0,0.0,0.0
10010,White Supremacist/Xenophobic,2020s,Yes,10010,Tennessee,Rogersville,,,2020.0,14,,,1.0,0.0,0.0,1.0,5.0,1.0,0.0,-88.0,-88.0,0.0,6.0,1.0,4.0,4.0,3.0,-99.0,-99.0,,,-99.0,0.0,2.0,-99,0.0,-99.0,-99.0,1.0,-99.0,28.0,,,,,1.0,2.0,3.0,5.0,,,,0.0,1.0,0.0,0.0,2.0,,,Tennessee,Knoxville,,,0,0.0,-99.0,9.0,5.0,-99.0,0.0,10.0,,,,-99,0,-88.0,3.0,25.0,1.0,0.0,2.0,-99.0,0.0,0.0,United States of America,1.0,United States of America,300.0,0.0,-88,3.0,0.0,-99.0,-99.0,0.0,-88.0,0.0,-99.0,-99.0,0.0,0.0,,,,0.0,0.0,3.0,-99.0,-99.0,0.0,-88.0,,,-88.0,0.0,-88,0.0,0.0,0.0,0.0,1.0,0.011015630403209074,0.0,8.0,0.0,0.127099015634047
10011,White Supremacist/Xenophobic,2020s,Yes,10011,Tennessee,Rogersville,,,2020.0,14,,,1.0,0.0,0.0,1.0,5.0,1.0,0.0,-88.0,-88.0,0.0,6.0,1.0,4.0,4.0,3.0,-99.0,-99.0,,,-99.0,0.0,2.0,-99,0.0,-99.0,-99.0,1.0,-99.0,28.0,,,,,1.0,2.0,3.0,5.0,,,,0.0,1.0,0.0,0.0,2.0,,,Tennessee,Louisville,,,0,0.0,-99.0,9.0,5.0,-99.0,0.0,10.0,,,,-99,0,-88.0,3.0,27.0,-99.0,-99.0,2.0,-99.0,0.0,0.0,United States of America,1.0,United States of America,324.0,0.0,-88,-99.0,0.0,-99.0,-99.0,0.0,-88.0,0.0,-99.0,-99.0,0.0,0.0,,,,0.0,0.0,3.0,-99.0,-99.0,0.0,-88.0,,,-88.0,0.0,-88,0.0,0.0,0.0,0.0,1.0,0.011015630403209074,0.0,8.0,0.0,0.127099015634047
10012,White Supremacist/Xenophobic,2020s,Yes,10012,Tennessee,Rogersville,,,2020.0,14,,,1.0,0.0,0.0,1.0,5.0,1.0,0.0,-88.0,-88.0,0.0,6.0,1.0,4.0,4.0,3.0,-99.0,-99.0,,,-99.0,0.0,2.0,-99,0.0,2.0,1.0,1.0,-99.0,28.0,,,,,1.0,2.0,3.0,5.0,,,,0.0,1.0,0.0,0.0,2.0,,,Tennessee,Johnson City,,,0,0.0,2.0,9.0,5.0,0.0,0.0,10.0,,,,-99,0,-88.0,3.0,25.0,1.0,0.0,2.0,9.0,0.0,-99.0,United States of America,1.0,United States of America,300.0,0.0,-88,3.0,0.0,-99.0,-99.0,0.0,-88.0,0.0,-99.0,-99.0,0.0,0.0,,,,0.0,0.0,3.0,-99.0,0.0,0.0,-88.0,,,-88.0,0.0,-88,0.0,1.0,0.0,0.0,1.0,0.011015630403209074,0.0,9.0,0.00943871175938773,0.144111612638489
10013,White Supremacist/Xenophobic,2020s,Yes,10013,Tennessee,Rogersville,,,2020.0,14,,,1.0,0.0,0.0,1.0,5.0,1.0,0.0,-88.0,-88.0,0.0,6.0,1.0,4.0,4.0,3.0,-99.0,-99.0,,,-99.0,0.0,2.0,-99,0.0,1.0,-99.0,2.0,5.0,19.0,22.0,28.0,,,1.0,2.0,3.0,5.0,,,,0.0,1.0,0.0,0.0,2.0,,,Arizona,Vail,,,0,0.0,-99.0,9.0,5.0,0.0,0.0,10.0,,,,-99,0,-88.0,3.0,26.0,2.0,2.0,2.0,-99.0,0.0,0.0,United States of America,1.0,United States of America,312.0,0.0,-88,3.0,0.0,-99.0,-99.0,0.0,-88.0,0.0,1.0,-99.0,2.0,0.0,2,,,2.0,0.0,3.0,1.0,1.0,3.0,19.0,,,-99.0,0.0,-88,2.0,0.0,0.0,0.0,1.0,0.011015630403209074,0.0,9.0,0.0127421595018243,0.127366359614129
10014,White Supremacist/Xenophobic,2020s,Yes,10014,Tennessee,Rogersville,,,2020.0,14,,,1.0,0.0,0.0,1.0,5.0,1.0,0.0,-88.0,-88.0,0.0,6.0,1.0,4.0,4.0,3.0,-99.0,-99.0,,,-99.0,0.0,2.0,-99,0.0,-99.0,-99.0,1.0,-99.0,28.0,,,,,1.0,2.0,3.0,5.0,,,,0.0,1.0,0.0,0.0,2.0,,,Tennessee,Morristown,,,0,0.0,-99.0,9.0,5.0,-99.0,0.0,10.0,,,,-99,0,-88.0,3.0,20.0,1.0,0.0,2.0,-99.0,0.0,0.0,United States of America,1.0,United States of America,240.0,0.0,-88,-99.0,-99.0,-99.0,-99.0,0.0,-88.0,0.0,-99.0,-99.0,0.0,0.0,,,,0.0,0.0,3.0,-99.0,-99.0,0.0,-88.0,,,-88.0,0.0,-88,0.0,0.0,0.0,0.0,1.0,0.011015630403209074,0.0,8.0,0.0,0.127099015634047
10015,White Supremacist/Xenophobic,2020s,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10016,Anarchist/Anti-Capitalist,2020s,Yes,10016,Wisconsin,Green Bay,Wisconsin,Waupaca,2020.0,3,,,0.0,-99.0,0.0,0.0,5.0,1.0,0.0,-88.0,-88.0,0.0,10.0,1.0,4.0,4.0,3.0,-99.0,-99.0,,,-99.0,0.0,3.0,-99,1.0,1.0,-99.0,1.0,-99.0,1.0,2.0,3.0,,,1.0,2.0,3.0,4.0,,,,0.0,0.0,1.0,0.0,10.0,23.0,,Wisconsin,Neenah,,,0,0.0,2.0,10.0,5.0,0.0,0.0,10.0,,,,-99,0,-88.0,3.0,23.0,1.0,0.0,2.0,-99.0,0.0,0.0,United States of America,1.0,United States of America,276.0,0.0,-88,-99.0,-99.0,-99.0,-99.0,0.0,-88.0,0.0,-99.0,-99.0,0.0,0.0,,,,0.0,0.0,2.0,-99.0,-99.0,0.0,-88.0,,,-88.0,0.0,-88,0.0,0.0,0.0,0.0,375.0,-88.0,0.0,1.0,0.0,1.0
10018,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,10018,Pennsylvania,Kirkwood,,,2020.0,-88,,,-88.0,-88.0,-88.0,-88.0,0.0,0.0,-88.0,-88.0,-88.0,0.0,3.0,2.0,4.0,4.0,3.0,0.0,-88.0,,,0.0,0.0,2.0,-99,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,,,,,-99.0,,,,,,,0.0,1.0,0.0,0.0,4.0,,,Pennsylvania,Kirkwood,,,0,0.0,1.0,9.0,4.0,0.0,0.0,0.0,,,,3,0,-88.0,3.0,68.0,2.0,2.0,1.0,-99.0,0.0,0.0,United States of America,1.0,United States of America,816.0,0.0,-88,3.0,0.0,2.0,4.0,0.0,-88.0,0.0,-99.0,2.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,-88.0,,,-88.0,0.0,-88,0.0,0.0,0.0,0.0,568.0,-88.0,1.0,0.0,0.0,0.0
10019,White Supremacist/Xenophobic,2020s,Yes,10019,Virginia,Richmond,,,2020.0,-88,,,-88.0,-88.0,-88.0,-88.0,0.0,0.0,-88.0,-88.0,-88.0,0.0,3.0,1.0,2.0,4.0,0.0,-88.0,-88.0,,,-88.0,-88.0,-88.0,-88,0.0,1.0,-99.0,2.0,-99.0,1.0,,,,,1.0,2.0,,,,,,0.0,1.0,0.0,0.0,2.0,,,Virginia,Richmond,,,0,0.0,-99.0,9.0,5.0,0.0,0.0,0.0,,,,-99,0,0.0,3.0,-99.0,1.0,0.0,2.0,-99.0,0.0,0.0,United States of America,1.0,United States of America,-99.0,0.0,-88,3.0,0.0,-99.0,-99.0,0.0,-88.0,0.0,-99.0,-99.0,0.0,0.0,-88,,,0.0,1.0,-99.0,-99.0,-99.0,2.0,16.0,,,-99.0,0.0,-88,0.0,0.0,0.0,0.0,569.0,-88.0,1.0,0.0,0.0,0.0
1002,Jihadist,1990s,Yes,1002,California,Santa Ana,,,1997.0,-99,,,-99.0,-99.0,-99.0,-99.0,0.0,1.0,-88.0,-88.0,-88.0,1.0,10.0,2.0,3.0,8.0,3.0,1.0,1.0,,,1.0,-99.0,3.0,180,1.0,1.0,1.0,-88.0,-88.0,-88.0,,,,,-88.0,,,,,,,1.0,0.0,0.0,0.0,11.0,,,California,Santa Ana,,,1,1.0,3.0,10.0,5.0,0.0,0.0,0.0,,,,1,1,0.0,3.0,28.0,2.0,1.0,2.0,11.0,1.0,0.0,United States of America,1.0,United States of America,228.0,0.0,-88,3.0,0.0,1.0,3.0,0.0,-88.0,0.0,2.0,2.0,0.0,0.0,-88,,,0.0,0.0,3.0,1.0,0.0,3.0,4.0,20.0,,2.0,0.0,-88,-99.0,0.0,1.0,1.0,346.0,-88.0,0.0,1.0,0.0,1.0
10020,White Supremacist/Xenophobic,2020s,Yes,10020,New York,Olean,,,2020.0,-88,,,-88.0,-88.0,-88.0,-88.0,0.0,0.0,-88.0,-88.0,-88.0,0.0,3.0,1.0,2.0,4.0,3.0,-99.0,-99.0,,,-99.0,-99.0,1.0,-99,0.0,1.0,1.0,2.0,-99.0,-99.0,,,,,-99.0,,,,,,,0.0,1.0,0.0,0.0,2.0,4.0,,New York,Cuba,,,0,0.0,-99.0,9.0,4.0,-99.0,-99.0,-99.0,,,,-99,0,-88.0,3.0,20.0,1.0,0.0,2.0,-99.0,0.0,0.0,United States of America,1.0,United States of America,240.0,0.0,-88,3.0,0.0,-99.0,-99.0,0.0,-88.0,0.0,-99.0,-99.0,0.0,0.0,,,,0.0,0.0,-99.0,-99.0,-99.0,0.0,-88.0,,,-88.0,0.0,-88,0.0,0.0,0.0,0.0,570.0,-88.0,1.0,0.0,0.0,0.0
10021,White Supremacist/Xenophobic,2020s,Yes,10021,Vermont,Bennington,,,2020.0,14,,,0.0,0.0,0.0,0.0,5.0,1.0,0.0,-88.0,-88.0,0.0,6.0,1.0,2.0,4.0,0.0,0.0,-88.0,,,0.0,-88.0,-88.0,-88,0.0,1.0,-99.0,1.0,-99.0,1.0,2.0,5.0,,,3.0,,,,,,,0.0,1.0,0.0,0.0,2.0,,,Vermont,Bennington,New York,New York,0,0.0,2.0,2.0,4.0,0.0,0.0,-99.0,,,,-99,0,0.0,3.0,37.0,3.0,2.0,2.0,-99.0,0.0,0.0,United States of America,1.0,United States of America,444.0,0.0,-88,5.0,0.0,6.0,4.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,-88,,,2.0,0.0,0.0,0.0,0.0,3.0,4.0,18.0,19,4.0,0.0,-88,1.0,0.0,0.0,1.0,571.0,-88.0,1.0,0.0,0.0,0.0
10022,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,10022,California,Santa Clara,California,San Jose,2020.0,2,,,2.0,0.0,1.0,-99.0,3.0,1.0,0.0,-88.0,-88.0,0.0,8.0,2.0,4.0,3.0,3.0,-99.0,-99.0,,,-99.0,0.0,2.0,-99,0.0,1.0,-99.0,1.0,-99.0,-99.0,,,,,1.0,,,,,,,0.0,1.0,0.0,0.0,1.0,4.0,21,California,Gilroy,,,0,0.0,3.0,9.0,5.0,1.0,0.0,10.0,12.0,,,1,0,-88.0,3.0,55.0,2.0,1.0,2.0,-99.0,0.0,0.0,United States of America,1.0,United States of America,660.0,0.0,-88,9.0,0.0,1.0,4.0,0.0,-88.0,0.0,2.0,3.0,0.0,0.0,-88,,,0.0,0.0,0.0,0.0,0.0,1.0,20.0,,,3.0,1.0,4,0.0,0.0,1.0,0.0,572.0,-88.0,1.0,0.0,0.0,0.0
