Network Summary
Metric,Value
Total Nodes,5386.0
Total Edges,15652.0
Network Density,0.0005396569599439518
Number of Communities,584.0
Largest Community Size,1298.0
Average Node Degree,5.812105458596361
Max Node Degree,1297.0

Top Influential Users by Degree Centrality
User,Degree Centrality,Betweenness Centrality,Eigenvector Centrality,Community
nan,0.24085422469823584,0.0,6.397900171272424e-68,0
4523,0.013184772516248838,9.027020447085389e-05,1.200447742001913e-16,3
4522,0.013184772516248838,0.00017425638393228808,1.0006535874597643e-16,3
4527,0.011884865366759517,1.5049125587168736e-05,2.0470796913233295e-16,3
4524,0.011142061281337047,3.5346792090423156e-05,1.4323711656681198e-16,3
4531,0.011142061281337047,0.00012278953905900633,2.0820367381031866e-16,3
4526,0.010956360259981429,1.1077195287048437e-05,1.7788153678073784e-16,3
4699,0.010399257195914577,0.0,2.7191958409815677e-16,3
4850,0.01021355617455896,0.0004912958177368076,2.0577998921601261e-19,3
10816,0.01021355617455896,6.320854521651685e-06,0.31088040496115643,14

Top Influential Users by Betweenness Centrality
User,Degree Centrality,Betweenness Centrality,Eigenvector Centrality,Community
3861,0.004085422469823584,0.0022028915214439616,1.620918978792519e-35,1
3818,0.001671309192200557,0.0015311538986867103,3.270746893367988e-36,17
4771,0.0005571030640668523,0.0015023709302020775,1.0737889991020344e-36,17
4571,0.001671309192200557,0.0013515750785366319,3.5252652255059594e-37,10
4742,0.0007428040854224698,0.001318463455115125,5.3214746842025595e-36,17
3174,0.003342618384401114,0.001307833244345843,1.854508652004959e-36,1
3549,0.008356545961002784,0.0011042991622488441,7.382776005396121e-14,1
6829,0.0035283194057567314,0.0009064747085996468,1.3639381132402232e-41,7
4572,0.002599814298978644,0.0008316789018714061,1.1573527925674512e-37,10
4708,0.0031569173630454964,0.0008301118568310041,4.196204386453838e-17,3

Top Influential Users by Eigenvector Centrality
User,Degree Centrality,Betweenness Centrality,Eigenvector Centrality,Community
10932,0.0057567316620241405,0.0,0.3394120393261222,14
10930,0.006128133704735376,6.495110113796659e-09,0.3151715124461872,14
10816,0.01021355617455896,6.320854521651685e-06,0.31088040496115643,14
10928,0.006313834726090993,1.8171377031012724e-08,0.2926622239294627,14
10927,0.006128133704735376,6.345797237617425e-09,0.2717605301651846,14
10815,0.009842154131847724,4.923629420229271e-06,0.2661682952720658,14
10926,0.0064995357474466105,7.680654350659772e-08,0.25235161806691675,14
10925,0.006128133704735376,6.345797237617425e-09,0.23432887440381242,14
10924,0.006128133704735376,6.345797237617425e-09,0.21759330017371661,14
10923,0.006128133704735376,6.345797237617425e-09,0.20205296680125576,14

Top 10 Largest Communities
Community,Size
0,1298
1,340
2,154
3,148
4,119
5,108
6,82
8,76
7,76
9,73

Isolated Users Summary
Metric,Count
Isolated Nodes (No Connections),0
Users with Zero Degree Centrality,0
